ID,lsoa21,imd_decile,imd_quint,churn_decile,IDACI_2019_decile,FSM_2024_imputed_mean,children_households_perc,sum_child_households,lone_parent_households_perc,pre_1919_perc,households_fuel_povt_perc,BAME_households,samhi_decile,risk_score,risk_bin,label
1,E01000001,9,4,1,10,7.95,9.82,80,12.5,5.55,4.39,19.9,1,2.2037,"[2,4)",Low
2,E01000002,10,5,1,10,5.64,7.36,60,21.67,0.84,3.38,21.8,1,2.2247,"[2,4)",Low
3,E01000003,5,2,2,9,4.91,6.44,65,35.38,2.2,5.81,25.9,1,2.8571,"[2,4)",Low
4,E01000005,3,1,2,3,12.04,15.56,70,41.43,13.38,6.13,61.5,1,4.5486,"[4,6)",Medium
5,E01000006,5,3,3,5,10.96,44.23,230,23.04,11.32,18.54,67.2,1,4.5646,"[4,6)",Medium
6,E01000007,3,2,1,3,8.18,35.74,420,31.9,2.21,11.2,71.2,1,4.0546,"[4,6)",Medium
7,E01000008,2,1,6,2,7.13,48.57,255,32.94,0,13.97,75,1,4.3525,"[4,6)",Medium
8,E01000009,3,2,3,4,7.95,34.78,200,16.5,43.94,20.16,69.6,1,5.6234,"[4,6)",Medium
9,E01000011,3,2,3,4,7.65,46.07,205,12.2,95.74,31.27,71.7,1,7.9507,"[6,8)",High
10,E01000012,2,1,2,2,12.87,54.67,410,33.17,17.14,13.44,72.5,1,4.9837,"[4,6)",Medium
11,E01000013,2,1,7,3,31.5,42.37,250,33.2,0,18.96,40.1,1,4.5378,"[4,6)",Medium
12,E01000014,2,1,8,4,8.9,36.29,225,28.44,0,17.28,38.9,2,3.5146,"[2,4)",Low
13,E01000015,2,1,6,3,25.5,45.06,365,40.82,0,15.9,43.7,1,4.4926,"[4,6)",Medium
14,E01000016,3,2,8,3,8.39,40.65,250,36,0,17.82,42.2,2,3.7862,"[2,4)",Low
15,E01000017,2,1,8,2,9.87,35.09,200,33.5,0,18.96,48.7,2,3.9496,"[2,4)",Low
16,E01000018,2,1,5,2,26.5,37.6,235,36.6,0.16,19.32,37.6,2,4.242,"[4,6)",Medium
17,E01000019,2,1,4,4,19.35,48.98,240,29.17,1.96,22.64,56.4,1,4.5087,"[4,6)",Medium
18,E01000020,2,1,4,3,7.8,42.52,270,20,0,18.86,57.1,3,3.5708,"[2,4)",Low
19,E01000021,2,1,2,2,9.31,42.98,245,29.8,0,20.06,55.2,1,3.7342,"[2,4)",Low
20,E01000022,2,1,5,3,6.1,41.11,185,29.73,0,16.63,52.3,2,3.6238,"[2,4)",Low
21,E01000024,3,2,3,5,11.69,40,180,30,0,20.74,54.3,1,4.0288,"[4,6)",Medium
22,E01000025,2,1,5,2,10.01,35.77,245,26.94,0,15.46,46.4,3,3.4444,"[2,4)",Low
23,E01000027,2,1,7,2,33.3,48.06,310,34.52,1.67,12.13,41,2,4.4983,"[4,6)",Medium
24,E01000028,2,1,7,2,5,39.02,240,37.92,0,12.23,55.5,5,3.8695,"[2,4)",Low
25,E01000029,4,2,5,5,2.81,30.37,205,23.9,0,11.81,54.7,1,3.3347,"[2,4)",Low
26,E01000030,2,1,6,1,2.36,49.72,440,43.41,2.56,12.03,53.9,2,3.847,"[2,4)",Low
27,E01000031,4,2,6,4,7.29,35.96,205,18.05,9.68,12.2,67.1,1,4.1093,"[4,6)",Medium
28,E01000032,3,2,3,4,9.86,35.46,250,24,7.58,15.02,56.3,1,3.9172,"[2,4)",Low
29,E01000033,2,1,6,1,2.39,38.53,210,40.95,0,15.49,38.7,3,3.3298,"[2,4)",Low
30,E01000034,2,1,4,3,0.86,31.68,160,33.12,0.19,12.06,36.4,4,2.8794,"[2,4)",Low
31,E01000035,4,2,5,3,2.65,37.39,215,26.51,1.8,13.63,47.4,2,3.2242,"[2,4)",Low
32,E01000036,5,3,5,4,10.66,36.36,160,23.75,4.29,16.2,52.9,1,3.8435,"[2,4)",Low
33,E01000037,5,3,5,5,4.82,29.73,165,22.42,0.18,7.36,36.3,1,2.6924,"[2,4)",Low
34,E01000038,5,3,8,3,18.7,32.11,175,18.86,0.33,10.87,35.3,1,3.2721,"[2,4)",Low
35,E01000039,4,2,6,4,3.52,34.13,215,25.58,0.15,5.91,40.5,1,2.8165,"[2,4)",Low
36,E01000040,2,1,8,2,18.9,40.16,255,28.24,0.3,16.18,59.4,1,4.3926,"[4,6)",Medium
37,E01000041,3,2,7,4,8.66,43.22,255,29.8,0,16.93,41.8,2,3.5723,"[2,4)",Low
38,E01000042,2,1,6,2,8.43,42.64,275,35.64,0,15.94,53.9,2,3.9216,"[2,4)",Low
39,E01000043,3,2,6,4,10.2,36.26,165,24.24,2.13,19.56,57.3,1,4.0362,"[4,6)",Medium
40,E01000044,3,2,3,4,21.5,39.68,250,23.2,54.69,22.99,60.2,1,6.5993,"[6,8)",High
41,E01000045,2,1,5,3,24.5,41.59,235,30.64,0,17.97,49.9,2,4.3553,"[4,6)",Medium
42,E01000046,3,2,5,3,8.4,41.09,265,30.94,0,16.05,42.9,2,3.4527,"[2,4)",Low
43,E01000049,2,1,10,1,12.06,49.55,275,40.36,6.15,15.9,69.6,1,5.0642,"[4,6)",Medium
44,E01000050,2,1,6,5,13.14,40.98,250,29.6,42.62,18.92,62.5,1,6.121,"[6,8)",High
45,E01000051,2,1,1,2,14.85,42.17,175,30.86,0,11.52,76.2,1,4.3114,"[4,6)",Medium
46,E01000052,2,1,4,3,10.43,46.45,360,28.33,42.5,21,59.2,1,5.7331,"[4,6)",Medium
47,E01000053,2,1,7,2,29.2,34.92,220,40.45,0,10.93,46.1,4,4.5824,"[4,6)",Medium
48,E01000054,3,2,9,3,30.4,43.65,275,39.27,0,17.33,41.3,2,4.773,"[4,6)",Medium
49,E01000055,3,2,7,2,5.72,41.82,230,33.91,0,18.05,43.9,2,3.5746,"[2,4)",Low
50,E01000056,2,1,6,3,3.57,42.73,235,34.47,0,14.5,41,4,3.3319,"[2,4)",Low
51,E01000057,3,2,6,3,9.18,45.1,230,41.3,0.18,17.12,45.6,2,3.965,"[2,4)",Low
52,E01000058,3,2,7,3,6.68,40.88,280,35.36,0,16.06,52.9,2,3.9168,"[2,4)",Low
53,E01000059,3,2,10,4,24.3,36.04,200,35.5,0,17.76,38,1,4.4198,"[4,6)",Medium
54,E01000060,2,1,4,3,32.3,38.75,310,41.94,0.27,13.82,51.8,5,4.9296,"[4,6)",Medium
55,E01000061,1,1,3,1,7.39,37.67,275,57.09,0,13.58,52.3,8,4.2647,"[4,6)",Medium
56,E01000062,3,2,5,4,9.55,38.93,290,35.17,1.33,14.36,47.3,2,3.8101,"[2,4)",Low
57,E01000063,2,1,7,3,34.5,40,240,29.17,0,16.08,42.6,2,4.5355,"[4,6)",Medium
58,E01000064,2,1,6,2,5.65,38.22,300,32.67,0,14.56,52,5,3.6529,"[2,4)",Low
59,E01000065,2,1,6,3,11.34,30.67,230,35.65,0,16.12,43.5,5,3.8117,"[2,4)",Low
60,E01000066,4,2,7,5,16.3,40.71,285,20,0,13.29,75.7,1,4.5317,"[4,6)",Medium
61,E01000067,5,3,7,4,8.7,44.19,285,23.16,0,14.66,73.4,1,4.2446,"[4,6)",Medium
62,E01000068,4,2,7,5,5.67,35.87,165,8.48,34.62,17.52,73.8,1,5.2156,"[4,6)",Medium
63,E01000069,6,3,5,7,4.47,43.69,225,19.11,0,14.31,74.1,1,4.0144,"[4,6)",Medium
64,E01000070,5,3,7,6,7.22,40.71,230,13.48,3.28,15.01,75.3,1,4.1937,"[4,6)",Medium
65,E01000071,5,3,4,5,4.3,42.04,330,16.97,0,11.69,72.3,1,3.6608,"[2,4)",Low
66,E01000072,2,1,8,2,3.97,45.14,325,47.38,0,18.3,50.7,3,4.1802,"[4,6)",Medium
67,E01000073,2,1,9,3,25.85,39.53,255,35.69,0,18.83,43.2,3,4.5956,"[4,6)",Medium
68,E01000074,2,1,9,2,4.98,40.83,245,33.88,0,20.03,43.7,3,3.7075,"[2,4)",Low
69,E01000075,2,1,9,2,12.02,37.6,235,17.45,0,17.16,43.7,2,3.4001,"[2,4)",Low
70,E01000076,2,1,10,3,12.79,35.67,280,33.57,1.35,20.43,42.9,3,4.1526,"[4,6)",Medium
71,E01000077,2,1,10,2,19.35,38.6,220,26.36,0,19.68,50,2,4.2752,"[4,6)",Medium
72,E01000078,2,1,8,2,27.5,46.67,280,29.29,0,20.43,47.7,2,4.5426,"[4,6)",Medium
73,E01000079,2,1,7,3,6.42,38.21,235,29.79,0,17.73,41.4,2,3.4444,"[2,4)",Low
74,E01000080,3,2,9,3,7.51,40.68,240,33.33,0,18.11,44.2,2,3.7896,"[2,4)",Low
75,E01000081,3,2,9,3,4.2,40.16,255,25.49,0,17.56,47.7,2,3.5105,"[2,4)",Low
76,E01000082,3,2,7,4,6.43,34.56,235,35.32,0,16.39,42.6,2,3.6565,"[2,4)",Low
77,E01000083,2,1,6,3,11.86,42.98,260,35.77,0,19.13,48.1,2,4.0344,"[4,6)",Medium
78,E01000084,2,1,8,2,7.2,39.36,185,33.51,0,19.25,39.6,2,3.5788,"[2,4)",Low
79,E01000085,2,1,8,4,29.4,37.84,210,35.24,0.16,20.62,40,1,4.6682,"[4,6)",Medium
