district,neighbourhood,rent
Sant Andreu,Baró de Viver,362.9
Horta-Guinardo,Can Baró,539.6
Nou Barris,Can Peguera,464.3
Nou Barris,Canyelles,575.8
Nou Barris,Ciutat Meridiana,399.2
Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,981.9
Horta-Guinardo,el Baix Guinardó,631
Ciutat Vella,el Barri Gòtic,771.1
Sant Marti,el Besòs i el Maresme,506
Sant Andreu,el Bon Pastor,526.1
Gracia,el Camp d'en Grassot i Gràcia Nova,712.6
Sant Marti,el Camp de l'Arpa del Clot,624.2
Horta-Guinardo,el Carmel,504.6
Sant Marti,el Clot,637
Gracia,el Coll,539.6
Sant Andreu,el Congrés i els Indians,594.3
Eixample,el Fort Pienc,770.1
Horta-Guinardo,el Guinardó,596.1
Sant Marti,el Parc i la Llacuna del Poblenou,755.4
Sants-Montjuic,el Poble-sec,598.5
Sant Marti,el Poblenou,711.5
Sarria-Sant Gervasi,el Putxet i el Farró,790.2
Ciutat Vella,el Raval,598.9
Nou Barris,el Turó de la Peira,485.4
Horta-Guinardo,Horta,568.3
Sants-Montjuic,Hostafrancs,601.6
Eixample,l'Antiga Esquerra de l'Eixample,906.1
Ciutat Vella,la Barceloneta,598.2
Sants-Montjuic,la Bordeta,607.7
Horta-Guinardo,la Clota,592.7
Eixample,la Dreta de l'Eixample,988.9
Horta-Guinardo,la Font d'en Fargues,749.2
Sants-Montjuic,la Font de la Guatlla,687.3
Nou Barris,la Guineueta,562.5
Sants-Montjuic,la Marina de Port,536.2
Sants-Montjuic,la Marina del Prat Vermell,381.1
Les Corts,la Maternitat i Sant Ramon,679.5
Eixample,la Nova Esquerra de l'Eixample,766.9
Nou Barris,la Prosperitat,531.3
Eixample,la Sagrada Família,704.4
Sant Andreu,la Sagrera,608.6
Gracia,la Salut,637.8
Horta-Guinardo,la Teixonera,547.2
Nou Barris,la Trinitat Nova,456.7
Sant Andreu,la Trinitat Vella,465
Horta-Guinardo,la Vall d'Hebron,701.4
Sant Marti,la Verneda i la Pau,595.4
Gracia,la Vila de Gràcia,726.6
Sant Marti,la Vila Olímpica del Poblenou,1116.3
Les Corts,les Corts,817.2
Nou Barris,les Roquetes,466.9
Sarria-Sant Gervasi,les Tres Torres,1337.8
Horta-Guinardo,Montbau,621.8
Sant Andreu,Navas,650.8
Les Corts,Pedralbes,1711.4
Nou Barris,Porta,556.5
Sant Marti,Provençals del Poblenou,670.4
Sant Andreu,Sant Andreu,609.6
Eixample,Sant Antoni,746
Horta-Guinardo,Sant Genís dels Agudells,558.5
Sarria-Sant Gervasi,Sant Gervasi - Galvany,1095.7
Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,1056.1
Sant Marti,Sant Martí de Provençals,697.3
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",708
Sants-Montjuic,Sants,627.9
Sants-Montjuic,Sants - Badal,606.8
Sarria-Sant Gervasi,Sarrià,1101.2
Nou Barris,Torre Baró,420.6
Nou Barris,Vallbona,450
Gracia,Vallcarca i els Penitents,712.8
Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",824.4
Nou Barris,Verdun,419.8
Nou Barris,Vilapicina i la Torre Llobeta,583.1
