"Daily Mean data	    supplied by UK-air on 28/12/2022",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Camden Kerbside,,London Bloomsbury,
Date,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured)
01/01/2020,39,35,40,34
02/01/2020,13,7,12,8
03/01/2020,12,6,11,5
04/01/2020,13,6,12,7
05/01/2020,9,4,7,4
06/01/2020,14,6,13,7
07/01/2020,18,7,16,8
08/01/2020,23,10,19,10
09/01/2020,11,5,9,4
10/01/2020,12,7,11,7
11/01/2020,15,5,13,6
12/01/2020,8,3,7,3
13/01/2020,11,4,,
14/01/2020,11,4,,
15/01/2020,12,5,,
16/01/2020,16,6,,
17/01/2020,10,4,,
18/01/2020,19,10,15,8
19/01/2020,26,13,18,10
20/01/2020,41,29,33,25
21/01/2020,46,33,38,29
22/01/2020,32,24,,
23/01/2020,26,18,,
24/01/2020,24,19,19,16
25/01/2020,30,21,26,21
26/01/2020,22,13,21,14
27/01/2020,,,10,4
28/01/2020,,,8,3
29/01/2020,,,14,7
30/01/2020,11,5,10,5
31/01/2020,7,4,5,3
01/02/2020,14,6,13,6
02/02/2020,17,8,15,8
03/02/2020,16,6,15,7
04/02/2020,15,6,12,5
05/02/2020,32,17,24,15
06/02/2020,35,21,29,21
07/02/2020,36,23,31,25
08/02/2020,18,7,16,8
09/02/2020,11,6,8,6
10/02/2020,10,4,,4
11/02/2020,12,4,,4
12/02/2020,11,5,9,5
13/02/2020,10,5,,5
14/02/2020,21,9,16,9
15/02/2020,8,3,7,4
16/02/2020,5,1,,3
17/02/2020,13,5,12,5
18/02/2020,10,5,,
19/02/2020,14,6,,
20/02/2020,8,3,7,3
21/02/2020,17,6,17,7
22/02/2020,16,6,18,7
23/02/2020,9,3,6,2
24/02/2020,7,3,6,3
25/02/2020,8,3,8,3
26/02/2020,9,4,10,4
27/02/2020,11,5,11,5
28/02/2020,12,6,11,5
29/02/2020,16,7,17,7
01/03/2020,11,4,11,5
02/03/2020,10,5,8,5
03/03/2020,14,6,14,6
04/03/2020,19,9,14,7
05/03/2020,16,10,13,8
06/03/2020,23,13,18,10
07/03/2020,24,14,21,11
08/03/2020,11,5,10,5
09/03/2020,12,5,10,4
10/03/2020,4,2,3,2
11/03/2020,8,4,8,3
12/03/2020,13,4,14,5
13/03/2020,15,6,16,7
14/03/2020,11,5,9,5
15/03/2020,10,4,8,4
16/03/2020,15,8,13,7
17/03/2020,16,6,14,5
18/03/2020,16,8,13,6
19/03/2020,16,10,15,9
20/03/2020,12,4,12,6
21/03/2020,14,7,15,7
22/03/2020,16,9,18,11
23/03/2020,21,13,22,12
24/03/2020,18,13,18,13
25/03/2020,29,22,31,22
26/03/2020,34,27,37,28
27/03/2020,36,27,38,28
28/03/2020,21,13,24,13
29/03/2020,15,5,16,5
30/03/2020,13,5,12,5
31/03/2020,15,7,16,8
01/04/2020,15,9,13,8
02/04/2020,10,5,11,6
03/04/2020,15,8,14,8
04/04/2020,18,12,14,12
05/04/2020,16,10,14,10
06/04/2020,13,7,13,6
07/04/2020,23,15,25,14
08/04/2020,48,37,50,35
09/04/2020,50,41,57,43
10/04/2020,39,29,43,30
11/04/2020,31,24,31,23
12/04/2020,26,21,26,19
13/04/2020,14,7,18,8
14/04/2020,15,7,15,7
15/04/2020,28,19,28,18
16/04/2020,49,37,49,35
17/04/2020,19,9,20,10
18/04/2020,24,14,23,13
19/04/2020,19,10,21,11
20/04/2020,20,10,26,10
21/04/2020,24,10,31,10
22/04/2020,26,14,30,14
23/04/2020,31,20,34,20
24/04/2020,29,19,30,20
25/04/2020,19,12,16,12
26/04/2020,18,13,18,12
27/04/2020,25,18,24,16
28/04/2020,9,6,9,6
29/04/2020,12,7,11,7
30/04/2020,10,4,10,4
01/05/2020,10,4,10,5
02/05/2020,9,5,8,6
03/05/2020,14,8,11,9
04/05/2020,17,10,16,11
05/05/2020,13,6,15,8
