SchoolName,Type,NumberBoys,NumberGirls,OfstedGrade
St Mary's Kilburn Church of England Primary School,Primary,115,110,2
De Beauvoir Primary School,Primary,180,215,2
Queensbridge Primary School,Primary,250,220,1
Princess May Primary School,Primary,245,205,2
Holy Trinity Church of England Primary School,Primary,110,115,1
Marlborough Primary School,Primary,165,190,2
Rush Green Primary School,Primary,400,420,2
Welldon Park Primary School,Primary,140,125,2
Elm Park Primary School,Primary,185,190,3
Davies Lane Primary School,Primary,385,375,1
City of London Academy (Southwark),Secondary,680,585,2
Sir John Cass's Foundation Primary School,Primary,125,115,1
Argyle Primary School,Primary,210,220,2
Beckford Primary School,Primary,220,235,2
Brecknock Primary School,Primary,220,190,2
Brookfield Primary School,Primary,235,210,2
Carlton Primary School,Primary,205,170,2
Edith Neville Primary School,Primary,105,120,2
Fleet Primary School,Primary,100,130,2
Hawley Infant School,Primary,50,55,2
Netley Primary School,Primary,250,175,2
New End Primary School,Primary,225,205,2
Primrose Hill School,Primary,265,220,1
Rhyl Primary School,Primary,225,215,2
Richard Cobden Primary School,Primary,230,225,1
Torriano Primary School,Primary,115,120,1
Gospel Oak Primary School,Primary,240,230,2
Fitzjohn's Primary School,Primary,110,115,2
Eleanor Palmer Primary School,Primary,125,115,1
"Christ Church Primary School, Hampstead",Primary,90,95,1
Christ Church School,Primary,110,110,2
Emmanuel Church of England Primary School,Primary,125,90,1
Hampstead Parochial Church of England Primary School,Primary,120,110,2
"Holy Trinity CofE Primary School, NW3",Primary,75,110,2
"Holy Trinity and Saint Silas CofE Primary School, NW1",Primary,105,100,1
Kentish Town Church of England Primary School,Primary,140,110,2
Rosary Roman Catholic Primary School,Primary,165,175,2
St Alban's Church of England Primary School,Primary,95,110,1
St Aloysius Roman Catholic Junior School,Primary,115,120,2
St Aloysius Roman Catholic Infant School,Primary,105,95,2
St Dominic's Catholic Primary School,Primary,160,140,2
St George the Martyr Church of England Primary School,Primary,115,100,1
St Josephs Primary School,Primary,115,110,1
St Mary and St Pancras Church of England Primary School,Primary,115,120,1
St Michael's Church of England Primary School,Primary,110,120,3
St Patrick's Catholic Primary School,Primary,110,115,2
St Paul's Church of England Primary School,Primary,100,110,2
St Eugene de Mazenod Roman Catholic Primary School,Primary,95,115,1
Our Lady Roman Catholic Primary School,Primary,95,100,2
Haverstock School,Secondary,750,490,2
Parliament Hill School,Secondary,50,1120,2
Regent High School,Secondary,440,360,2
Hampstead School,Secondary,690,550,2
Acland Burghley School,Secondary,660,385,3
The Camden School for Girls,Secondary,140,870,1
Maria Fidelis Roman Catholic Convent School FCJ,Secondary,70,535,2
William Ellis School,Secondary,775,60,2
La Sainte Union Catholic Secondary School,Secondary,50,1105,2
Millennium Primary School,Primary,230,205,1
Alderwood Primary School,Primary,125,125,3
Bannockburn Primary School,Primary,390,365,1
Morden Mount Primary School,Primary,200,180,2
Cherry Orchard Primary School,Primary,115,125,1
Ealdham Primary School,Primary,235,180,2
Fossdene Primary School,Primary,210,215,2
Gallions Mount Primary School,Primary,245,200,2
Gordon Primary School,Primary,255,210,2
Greenacres Primary School and Language Impairment Unit,Primary,145,105,2
Haimo Primary School,Primary,155,165,2
Halstow Primary School,Primary,185,170,1
Henwick Primary School,Primary,185,160,2
Horn Park Primary School,Primary,230,195,2
Invicta Primary School,Primary,180,190,1
Kidbrooke Park Primary School,Primary,210,205,2
Meridian Primary School,Primary,110,130,2
Plumcroft Primary School,Primary,400,325,2
Sherington Primary School,Primary,260,240,1
Thorntree Primary School,Primary,115,135,2
Woodhill Primary School,Primary,270,305,3
Wyborne Primary School,Primary,240,220,2
Brooklands Primary School,Primary,130,130,1
Montbelle Primary School,Primary,215,245,2
Boxgrove Primary School,Primary,240,220,2
Rockliffe Manor Primary School,Primary,120,125,2
De Lucy Primary School,Primary,310,275,2
Wingfield Primary School,Primary,95,105,3
Cardwell Primary School,Primary,225,265,1
Foxfield Primary School,Primary,350,335,1
Windrush Primary School,Primary,270,245,1
Heronsgate Primary School,Primary,425,425,1
Linton Mead Primary School,Primary,255,215,2
Nightingale Primary School,Primary,120,125,2
Greenslade Primary School,Primary,135,110,2
Mulgrave Primary School,Primary,270,250,2
Charlton Manor Primary School,Primary,215,260,2
Christ Church Church of England Primary School,Primary,100,80,2
"Christ Church Church of England Primary School, Shooters Hill",Primary,110,95,1
Eltham Church of England Primary School,Primary,170,145,1
Our Lady of Grace Catholic Primary School,Primary,105,105,2
St Joseph's Catholic Primary School,Primary,85,110,2
St Margaret's Church of England Primary School,Primary,160,135,2
Saint Mary Magdalene Church of England All Through School,All Through,205,250,1
St Mary's Catholic Primary School,Primary,230,240,1
St Patrick's Catholic Primary School,Primary,180,190,2
St Alfege with St Peter's Church of England Primary School,Primary,120,120,2
St Peter's Catholic Primary School,Primary,100,105,2
St Thomas More Catholic Primary School,Primary,100,100,2
St Thomas A Becket Roman Catholic Primary School,Primary,160,165,2
Holy Family Catholic Primary School,Primary,110,100,2
Notre Dame Catholic Primary School,Primary,90,115,3
St Margaret Clitherow Catholic Primary School,Primary,135,120,2
Bishop John Robinson Church of England Primary School,Primary,95,130,2
Eltham Hill School,Secondary,20,865,1
Plumstead Manor School,Secondary,35,1380,2
Thomas Tallis School,Secondary,975,795,2
The John Roan School,Secondary,735,505,2
St Ursula's Convent School,Secondary,0,610,1
Hawksmoor School,Primary,335,335,1
Berger Primary School,Primary,245,235,3
Colvestone Primary School,Primary,125,105,2
Daubeney Primary School,Primary,325,335,2
Gainsborough Primary School,Primary,310,250,2
Lauriston School,Primary,235,225,2
London Fields Primary School,Primary,240,210,1
Millfields Community School,Primary,320,340,2
Morningside Primary School,Primary,220,230,2
Orchard Primary School,Primary,235,245,1
Randal Cremer Primary School,Primary,240,215,3
Sebright School,Primary,205,245,2
Shacklewell Primary School,Primary,210,215,2
Southwold Primary School,Primary,230,200,2
Thomas Fairchild Community School,Primary,210,205,2
Tyssen Community Primary School,Primary,220,220,2
Whitmore Primary School,Primary,220,185,1
Woodberry Down Community Primary School,Primary,255,265,1
Kingsmead Primary School,Primary,130,110,1
Sir Thomas Abney School,Primary,235,205,2
Grasmere Primary School,Primary,130,110,2
Jubilee Primary School,Primary,260,230,1
Nightingale Primary School,Primary,110,135,2
Baden-Powell School,Primary,105,125,2
Harrington Hill Primary School,Primary,200,170,2
Holmleigh Primary School,Primary,120,120,1
Grazebrook Primary School,Primary,245,240,1
Parkwood Primary School,Primary,125,115,2
Benthal Primary School,Primary,205,230,2
Mandeville Primary School,Primary,200,185,2
Our Lady and St Joseph Catholic Primary School,Primary,120,120,1
St John the Baptist Voluntary Aided Church of England Primary School,Primary,185,155,2
St Matthias Church of England Primary School,Primary,130,155,2
St Monica's Roman Catholic Primary School,Primary,115,120,2
St Paul's with St Michael's Primary School,Primary,110,115,2
St John of Jerusalem Church of England Primary School,Primary,115,115,2
"St Mary's Church of England Primary School, Stoke Newington",Primary,110,115,2
St Scholastica's Catholic Primary School,Primary,135,120,2
Simon Marks Jewish Primary School,Primary,95,110,3
Haggerston School,Secondary,470,535,2
Stoke Newington School and Sixth Form,Secondary,850,690,2
Our Lady's Convent Roman Catholic High School,Secondary,0,710,2
The Urswick School - A Church of England Secondary School,Secondary,510,300,2
Cardinal Pole Roman Catholic School,Secondary,595,445,2
Addison Primary School,Primary,235,220,2
Avonmore Primary School,Primary,100,125,2
Brackenbury Primary School,Primary,245,250,1
Miles Coverdale Primary School,Primary,125,120,1
Flora Gardens Primary School,Primary,110,135,3
Fulham Primary School,Primary,170,165,2
Kenmont Primary School,Primary,130,105,2
Melcombe Primary School,Primary,215,195,1
Old Oak Primary School,Primary,200,195,2
Queen's Manor School and Special Needs Unit,Primary,115,115,2
Sir John Lillie Primary School,Primary,225,200,3
Sulivan Primary School,Primary,135,135,2
Wendell Park Primary School,Primary,225,220,2
Wormholt Park Primary School,Primary,215,250,2
All Saints CofE Primary School,Primary,105,125,2
Holy Cross RC School,Primary,260,200,2
John Betts Primary School,Primary,130,105,1
St Augustine's RC Primary School,Primary,115,100,1
St Johns Walham Green Church of England Primary School,Primary,190,175,2
St Mary's Catholic Primary School,Primary,105,115,2
St Paul's CofE Primary School,Primary,120,110,1
St Peter's Primary School,Primary,95,110,2
St Stephen's CofE Primary School,Primary,155,160,1
Good Shepherd RC Primary School,Primary,125,130,1
St John XXIII Catholic Primary School,Primary,125,140,1
St Thomas of Canterbury Catholic Primary School,Primary,185,180,2
Phoenix High School,Secondary,490,415,3
Ambler Primary School and Children's Centre,Primary,185,175,2
Copenhagen Primary School,Primary,110,115,3
Drayton Park Primary School,Primary,175,155,3
Duncombe Primary School,Primary,235,220,2
Gillespie Primary School,Primary,130,110,1
Grafton Primary School,Primary,260,255,1
Hanover Primary School,Primary,185,155,2
Hargrave Park Primary School,Primary,145,135,2
Laycock Primary School,Primary,230,205,2
Moreland Primary School,Primary,130,100,3
Pakeman Primary School,Primary,190,150,2
Robert Blair Primary School,Primary,140,125,2
