District,Neighbourhood,Unemployment
Ciutat Vella,El Raval,11.4
Ciutat Vella,El Barri Gotic,8.9
Ciutat Vella,La Barceloneta,10.9
Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",9.6
Eixample,El Fort Pienc,7.4
Eixample,La Sagrada FamIlia,7.4
Eixample,La Dreta de l'Eixample,5.8
Eixample,L'Antiga Esquerra de l'Eixample,6.5
Eixample,La Nova Esquerra de l'Eixample,7
Eixample,Sant Antoni,7.7
Sants-Montjuic,El Poblesec,10.3
Sants-Montjuic,La Marina del Prat Vermell,19.1
Sants-Montjuic,La Marina de Port,10.9
Sants-Montjuic,la Font de la Guatlla,10.5
Sants-Montjuic,Hostafrancs,8
Sants-Montjuic,la Bordeta,8.5
Sants-Montjuic,Sants - Badal,7.2
Sants-Montjuic,Sants,7.9
Les Corts,les Corts,7.5
Les Corts,la Maternitat Sant Ramon,7.7
Les Corts,Pedralbes,3.9
Sarria-Sant Gervasi,Vallvidrera el Tibidabo les Planes,3.6
Sarria-Sant Gervasi,Sarria,3.9
Sarria-Sant Gervasi,les Tres Torres,4.1
Sarria-Sant Gervasi,Sant Gervasi - La Bonanova,4.6
Sarria-Sant Gervasi,Sant Gervasi - Galvany,4.6
Sarria-Sant Gervasi,El Putxet El Farro,6.5
Gracia,Vallcarca i els Penitents,7.9
Gracia,El Coll,6.7
Gracia,La Salut,7.6
Gracia,La Vila de Gracia,7.2
Gracia,El Camp d'en Grassot i Gracia Nova,7.4
Horta-Guinardo,El Baix Guinardo,7.6
Horta-Guinardo,Can Baro,8
Horta-Guinardo,El Guinardo,8.9
Horta-Guinardo,La Font d'en Fargues,10.7
Horta-Guinardo,El Carmel,10.5
Horta-Guinardo,La Teixonera,8.6
Horta-Guinardo,Sant Genis dels Agudells,9.6
Horta-Guinardo,Montbau,9.8
Horta-Guinardo,La Vall d'Hebron,9
Horta-Guinardo,La Clota,5.7
Horta-Guinardo,Horta,10.7
Nou Barris,Vilapicina i la Torre Llobeta,10.3
Nou Barris,Porta,10.9
Nou Barris,El Turo de la Peira,10.7
Nou Barris,Can Peguera,9.9
Nou Barris,La Guineueta,13.3
Nou Barris,Canyelles,12.9
Nou Barris,Les Roquetes,12.1
Nou Barris,Verdun,12.3
Nou Barris,La Prosperitat,11.5
Nou Barris,La Trinitat Nova,17.2
Nou Barris,Torre Baro,12.3
Nou Barris,Ciutat Meridiana,17.8
Nou Barris,Vallbona,16.3
Sant Andreu,La Trinitat Vella,16.1
Sant Andreu,Baro de Viver,9.4
Sant Andreu,El Bon Pastor,10.9
Sant Andreu,Sant Andreu,9.6
Sant Andreu,La Sagrera,8.7
Sant Andreu,El Congres i els Indians,9.1
Sant Andreu,Navas,8.8
Sant Marti,El Camp de l'Arpa del Clot,9.2
Sant Marti,El Clot,8.6
Sant Marti,El Parc ila Llacuna del Poblenou,7.4
Sant Marti,Ea Vila Olimpica del Poblenou,7.4
Sant Marti,El Poblenou,7.5
Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,9.4
Sant Marti,El Besos i el Maresme,12.3
Sant Marti,Provenaals del Poblenou,9.1
Sant Marti,Sant Marti de Provenaals,10.9
Sant Marti,La Verneda i la Pau,11.2
